user_id,allotment_id,length,request_type
15,462,Full Day,Vacation
20,462,Full Day,Vacation
16,462,Full Day,Vacation
18,722,Full Day,Vacation
17,722,Full Day,Vacation
15,463,Full Day,Vacation
20,463,Full Day,Vacation
16,463,Full Day,Vacation
18,723,Full Day,Vacation
17,723,Full Day,Vacation
15,464,Full Day,Vacation
20,464,Full Day,Vacation
16,464,Full Day,Vacation
5,723,Full Day,Vacation
18,724,Full Day,Vacation
17,724,Full Day,Vacation
15,465,Full Day,Vacation
20,465,Full Day,Vacation
16,465,Full Day,Vacation
5,724,Full Day,Vacation
